"MAKE_ID","GENERIC_NAME"
"16356","Acura"
"16355","Infiniti"
"6","Alfa Romeo"
"8","Aston Martin"
"9","Audi"
"11","Bentley"
"13","BMW"
"14","Alpina"
"15","Bugatti"
"16","Buick"
"17","Cadillac"
"19","Chevrolet"
"20","Chrysler"
"21","Citroen"
"22","Daewoo"
"23","Daihatsu"
"27","Ferrari"
"28","Fiat"
"29","Ford"
"31","Honda"
"33","Hyundai"
"35","Isuzu"
"37","Jaguar"
"38","Jeep"
"39","Kia"
"40","Lada"
"41","Lamborghini"
"42","Lancia"
"43","Lexus"
"44","Lotus"
"45","Maserati"
"46","Mazda"
"47","Mercedes-Benz"
"48","MG"
"50","Mitsubishi"
"51","Morgan"
"52","Nissan"
"53","Oldsmobile"
"54","Opel"
"55","Peugeot"
"56","Pontiac"
"57","Porsche"
"60","Renault"
"61","Rolls-Royce"
"62","Rover"
"63","Saab"
"64","SEAT"
"65","Skoda"
"66","SsangYong"
"67","Subaru"
"68","Suzuki"
"70","Toyota"
"71","TVR"
"73","Volvo"
"74","Volkswagen"
"2120","Triumph"
"2152","Dodge"
"2153","GMC"
"14882","Iveco"
"14890","Lincoln"
"14979","AC"
"15525","Smart"
"15629","Innocenti"
"15633","Trabant"
"15636","Proton"
"15638","Panther"
"15641","Land Rover"
"15643","Austin"
"15644","Autobianchi"
"15646","Puch"
"15670","Oldtimer"
"15672","Caravans-Wohnm"
"15674","HUMMER"
"16253","Trucks-Lkw"
"16326","Trailer-Anhänger"
"16327","Tata"
"16328","Others "
"16332","Polaris"
"16333","DAF"
"16335","Caterham"
"16336","Wartburg"
"16337","Galloper"
"16338","MINI"
"16339","Donkervoort"
"16341","Pagani"
"16342","Gillet"
"16348","Maybach"
"16350","Piaggio"
"16351","Wiesmann"
"16352","Aixam"
"16353","Ligier"
"16357","Chatenet"
"16380","Corvette"
"16360","Dacia"
"16361","Microcar"
"16359","Mahindra"
"16369","Santana"
"16367","Brilliance"
"16377","Spyker"
"16379","BYD"
"16382","Great Wall"
"16383","DR Motor"
"16384","Chery"
"16385","VAZ"
"16386","GAZ"
"16387","IZH"
"16388","Moskvich"
"16389","UAZ"
"16391","Derways"
"16392","Geely"
"16393","Lifan"
"16394","ZAZ"
"16395","TagAZ"
"16396","Abarth"
"50001","A.T.U"
"50005","Aprilia"
"50010","Benelli"
"50011","Beta"
"50012","Bimota"
"50014","Boss Hoss"
"50015","Buell"
"50018","Cagiva"
"50021","CCM"
"50022","Chang - Jiang"
"50024","CZ"
"50025","Daelim"
"50027","Derbi"
"50029","Dnepr"
"50030","Ducati"
"50032","Ecomobile"
"50034","Ering"
"50035","Fantic"
"50036","Gas Gas"
"50038","Gilera"
"50040","Harley-Davidson"
"50041","Hercules"
"50044","Horex"
"50046","Husaberg"
"50047","Husqvarna"
"50048","Hyosung"
"50050","Italjet"
"50051","Jawa"
"50052","Jincheng"
"50055","Kawasaki"
"50059","Kreidler"
"50060","KTM"
"50062","Kymco"
"50063","Laverda"
"50065","LEM"
"50066","LML"
"50068","Maico"
"50069","Malaguti"
"50070","MBK"
"50073","Montesa"
"50074","Moto Guzzi"
"50076","Motorhispania"
"50078","MV Agusta"
"50079","MZ"
"50080","Norton"
"50081","Pegasus"
"50083","PGO"
"50088","Rieju"
"50089","REX"
"50091","Sachs"
"50093","Simson"
"50095","Solo"
"50099","SYM"
"50103","Tomos"
"50105","Ural"
"50106","VOR Vertemati"
"50107","Yamaha"
"50108","Indian"
"50109","Zündapp"
"50110","Adler"
"50111","NSU"
"50112","DKW"
"50114","Moto Morini"
"50115","Bombardier"
"50116","Rewaco"
"50117","BSA"
"50118","Boom Trike"
"50120","Garelli"
"50124","Can Am"
"50125","AWO"
"50126","EMW"
"50130","Victoria"
"50131","Motobecane"
"50132","Voxan"
"50133","Heinkel"
"50134","IWL"
"50137","Velosolex"
"50138","Fecht Trike"
"50143","Zing"
"50144","Trike"
"50154","Zweirad Union"
"50156","Xingfu"
"50176","Real"
"50185","Motobi"
"50204","CPI"
"50215","Alpha"
"50344","IFA"
"50358","Miele"
"50379","Royal Enfield"
"50388","Standard"
"51262","WMI"
"50403","TGB"
"50404","Vespa"
"50406","Arctic Cat"
"50407","E-Ton"
"51301","Mc Motors"
"51500","Aiyumo"
"51501","CSR"
"50417","Adly"
"51502","HM"
"50419","Aeon"
"51503","Leonart"
"51504","MTR"
"51505","Vespino"
"51506","CR&S"
"51507","Borossi"
"51508","AGM"
"51509","Benda"
"51510","Big Dog"
"50428","Dinli"
"50429","Seikel"
"51511","Motowell"
"50431","TM"
"51512","Haima"
"51513","Westfield"
"51514","Vortex"
"51515","Govecs"
"50436","Epella"
"51516","SEV"
"51517","Venturino"
"51518","CFMOTO"
"51519","McLaren"
"50441","Giantco"
"50461","Masai"
"50481","Kwang Yang"
"51520","Tesla"
"51521","Emco"
"50501","Barossa"
"50521","Zongshen"
"51522","masini"
"50542","Zhongyu"
"50543","Jinlun"
"50561","Sherco"
"50581","SMC"
"51523","Vectrix"
"50601","Generic"
"50621","Baotian"
"50641","Pocket Bike"
"50642","Keeway"
"50661","Skyteam"
"50683","Linhai"
"50701","Loncin"
"51401","Blata"
"50741","E.-ATV"
"50861","Burelli"
"50881","Kinroad"
"50883","Shineray"
"50901","Regal-Raptor"
"50941","Palmo"
"50961","Explorer"
"50962","Bashan"
"50964","Alisze"
"50981","Lifan"
"51021","Triton"
"51061","E-Max"
"51081","Qingqi"
"51121","Hisun"
"51141","Cectek"
"51161","Benzhou"
"51201","Tauris"
"51202","Rivero"
"51203","Jonway"
"51222","GG"
"51223","Goes"
"51224","Jack Fox"
"51241","Luxxon"
"51261","Victory"
"51281","Genata"
"51441","Nitro Motors"
"51537","Xingyue"
"51553","Panther Westwinds"
"16411","CityEL"
"16412","Qoros"
"51526","Megelli"
"51527","Beeline"
"51528","Brammo"
"51530","Junak"
"51531","Zipp"
"51532","KSR MOTO"
"51533","Zero"
"51534","Hamann"
"51543","FISKER"
"51547","RollerFoxx"
"51549","Online"
"51550","Headbanger"
"51551","Talbot"
"51554","MP Lafer"
"16397","Daimler"
"16398","Reliant"
"16399","Melex"
"16400","Bedford"
"16401","Changhe"
"16402","Iso Rivolta"
"16403","GEM"
"16404","Tasso"
"16405","Savel"
"16406","CMC"
"51524","Nova Motors"
"51538","SpeedArt"
"51539","9ff"
"51540","GEMBALLA"
"51542","Gac Gonow"
"51545","Amphicar"
"51548","Donghai"
"51557","Tazzari EV"
"51555","Mash"
"51556","BORILE"
"16407","Casalini"
"16408","Zastava"
"16409","Grecav"
"16410","Martin Motors"
"51600","Tante Paula"
"51601","Terrot"
"51602","THA"
"51603","Thumpstar"
"51604","Tomaszo"
"51605","Tornax"
"51606","Toth-Twa"
"51607","Touratech"
"51609","Ultra Motor"
"51610","UT"
"51611","Vahrenkamp"
"51613","Velocette"
"51614","Vertemati"
"51615","Villa"
"51616","Vincent"
"51617","Volta"
"51618","VR"
"51619","Wakan"
"51620","Wanderer"
"51621","Wanjin"
"51622","Watsonian/Squire"
"51623","Wellbrock"
"51624","Wild Eagle"
"51625","WRM"
"51626","W-Tec"
"51627","Wüdo"
"51628","Xispa"
"51629","XPA"
"51630","YCF"
"51631","Yiben"
"51632","Yukon-Atv"
"51633","Zhejiang"
"51634","Zhongneng"
"51635","Zhongshan"
"51636","Znen"
"51728","PIT Racing"
"51729","Polini"
"51730","Quadix"
"51731","Quantya"
"51732","Rabeneick"
"51733","Rechenberg"
"51734","Rickman"
"51735","Ride"
"51736","Rixe"
"51737","RMW"
"51738","Rudge"
"51739","Rumi"
"51740","Sanglas"
"51741","Saroléa"
"51742","Saxon"
"51743","Scarabeo"
"51744","Schüttoff"
"51745","Scorpa"
"51746","Scott"
"51747","Stock"
"51748","Sunbeam"
"51749","SWM"
"51525","Kumpan Electric"
"51529","Turbho"
"51535","TECHART"
"51536","Ruf"
"51541","Quadro"
"51544","Herkules"
"51552","Dutton"
"51637","Access"
"51638","Adiva"
"51639","Aermacchi"
"51640","AJP"
"51641","AJS"
"51642","AMC Est 1902"
"51643","Ardie"
"51644","Ariel"
"51645","Atala"
"51646","ATK"
"51647","Bajaj"
"51648","BFG"
"51649","Britten"
"51650","Brough Superior"
"51651","Bücker"
"51652","Bull"
"51653","Bultaco"
"51654","Buyang"
"51655","Calthorpe"
"51656","Cannondale"
"51657","CCS"
"51658","Chinabike"
"51659","Christini"
"51660","Cleveland"
"51661","Cobra"
"51662","Condor"
"51663","Confederate"
"51664","Cotton"
"51665","Csepel"
"51666","Di Blasi"
"51667","Dorton"
"51668","Douglas"
"51669","D-RAD"
"51670","Dürkopp"
"51671","EBR"
"51672","Egli"
"51673","EH Line"
"51674","Electrack"
"51675","Elmoto"
"51676","Energica"
"51677","E-Sprit"
"51678","Excalibur"
"51679","Express"
"51680","FN"
"51681","Frischauf"
"51682","Ghezzi-Brian"
"51683","Gnome et Rhône"
"51684","Goggo"
"51685","Grace"
"51686","Gritzner-Kayser"
"51687","GUF"
"51688","Hanway"
"51689","Hecker"
"51690","Henderson"
"51691","Herk"
"51692","Highland"
"51693","HMW"
"51694","Hoffmann"
"51695","HRD"
"51696","Hummel"
"51697","Huoniao"
"51698","IMG"
"51699","Imme"
"51700","Imperia"
"51701","Innoscooter"
"51702","IO"
"51703","Jianshe"
"51704","Jinling"
"51705","Jmstar"
"51706","Jotagas"
"51707","KVN"
"51708","Lambretta"
"51709","Leike"
"51710","Lingben"
"51711","Lohner"
"51712","Longjia"
"51713","Mabeco"
"51714","Mars"
"51715","Matchless"
"51716","Minimoto"
"51717","Mondial"
"51718","Moto Parilla"
"51719","Motom"
"51720","Motosacoche"
"51721","Münch"
"51722","NCR"
"51723","New Hudson"
"51724","New Imperial"
"51725","Nimbus"
"51726","Oset"
"51727","Ossa"
